,year,firstname,lastname,alt_name,company,comment,sources,play_performance,keyword
240,1893,,Gauze,,,The “Black Patti”. is this a different person or a role played by James Crosby?; well-cultivated voice; much grace as a female impersonator,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]22 Feb 1893: 4.",,
241,1893,,Crowley,,,doing duty here; his work excites no little astonishment; make-up is very fine indeed,"The Stage (Archive: 1880-1959); London Iss. 623, (Feb 23, 1893): 14.

The Stage (Archive: 1880-1959); London Iss. 624, (Mar 2, 1893): 16.

The Stage (Archive: 1880-1959); London Iss. 625, (Mar 9, 1893): 14.",,
242,1893,Addie,Levedo,,,may be a fictional character — pasted below,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]27 Mar 1893: 4.,,
243,1893,,,,,not sure — pasted below,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]02 Apr 1893: 24.,,
244,1893,,,,,"A bunch of Chinese arrived in the U.S. and customs officers were faced with 215 of the total 364 claiming to be bound for the World’s Fair. The actors know very little English, and nearly every one of them claims to be a “female impersonator.” — pdf saved","New York Times (1857-1922); New York, N.Y. [New York, N.Y]02 May 1893: 3.",,
245,1893,Harry,Hayes,,,arrested for obtaining money under false pretenses,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]25 May 1893: 2.",,
246,1893,,,,,______ can’t find,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]30 May 1893: 4.,,
247,1893,,Pang,,,Chinese female impersonator on the Midway pleasance — PDF saved,"Meinen, Carl. Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]03 June 1893: 2.

Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]12 June 1893: 6.",,
248,1893,Neil,Burgess,,,"retiring from the stage; first went into the profession as a female impersonator in the variety theatre; successes have included “Vim,” “Aunt Prue,” “The Widow Bedott,” and “The County Fair”; the profits from the latter made him a rich man","Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]13 June 1893: 4.",(Vim/Aunt Prue/The Widow Bedott/The County Fair),
249,1893,,,,,female impersonator wanted,"The Stage (Archive: 1880-1959); London Iss. 643, (Jul 13, 1893): 13.",,
250,1893,George,Fortescue,,,"popular in Rice’s “Evangeline” is now going to play Mrs. Comstock, a captivating widow in the play, and the beautiful queen in the burlesque; his fame as a female impersonator gives assurance that the role will be made most entertaining","Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]22 July 1893: 9.",Evangeline,
251,1893,Chin,Yi,,,investigation into the case of one of nine Chinese men coming from Havana on a steamer; said to be female impersonator but doubted by Special Chinese Inspector and Deputy Collectors,"New York Times (1857-1922); New York, N.Y. [New York, N.Y]03 Aug 1893: 5.",,
252,1893,Richard,Harlow,,,"in 1492, a two-act burlesque opera","Chicago Daily Tribune (1872-1922); Chicago, Ill. [Chicago, Ill]07 Aug 1893: 5.",1492 (burlesque opera),
253,1893,,,,,not sure what’s happening here,"The Stage (Archive: 1880-1959); London Iss. 648, (Aug 17, 1893): 11.",,
254,1893,,Crowley,,,,"The Stage (Archive: 1880-1959); London Iss. 648, (Aug 17, 1893): 11.",,
255,1893,Harry,Le Clair,,,,"New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]20 Aug 1893: 19.",,
256,1893,,Stewart,,,"at a Concert Hall; made a pretense of flirting with one of the men, who was eager to return the flirtation; one woman shouted: That’s a woman, you old fool; husband pretended to have known, wife persisted in saying he didn’t; she struck the husband with an umbrella; the parties who set the place a-going’ were shoved out","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]09 Sep 1893: 4.",,
257,1893,,Blair,,,"one of ""the Blair Brothers"" were in drag","The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]03 Oct 1893: 6.",,
258,1893,Herbert,Crowley,,,a very clever female impersonator,"The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]03 Oct 1893: 6.",,clever
259,1893,,,,,looking for job as CLEVER female impersonator,"The Stage (Archive: 1880-1959); London Iss. 661, (Nov 16, 1893): 17.

The Stage (Archive: 1880-1959); London Iss. 664, (Dec 7, 1893): 17.",,clever
260,1893,Edward,Adams,,,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]21 Nov 1893: 5.,,
261,1893,Herbert,Crowley,,,"billed as “the greatest female impersonator of the age”; certainly in face, form, voice, and make-up he rivals any performer of the kind we have seen","The Stage (Archive: 1880-1959); London Iss. 663, (Nov 30, 1893): 14.",,
262,1893,,Spencer,,Nibbes’ Big Burlesque Company,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]03 Dec 1893: 22.",,
263,1893,,West,,Nibbes’ Big Burlesque Company,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]03 Dec 1893: 22.",,
264,1893,Richard,Harlow,,,describes the art of make-up — PDF downloaded,"Harlow, Richard. Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]03 Dec 1893: 19.",,
265,1893,Gus,Mills,,,plays Anna Danto in “The Hustler” and proves to be good,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]04 Dec 1893: 4.",The Hustler,
266,1893,,St. Julian,,,Ideal Specialty Company),"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]10 Dec 1893: 10.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]10 Dec 1893: 11.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]12 Dec 1893: 2.",,
267,1893,Harry,Le Clair,,,,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]19 Dec 1893: 4.",,
268,1893,Quinton,Gibson,,,,"The Stage (Archive: 1880-1959); London Iss. 667, (Dec 28, 1893): 9.",,
269,1894,,,,,______ can’t find,"The Stage (Archive: 1880-1959); London Iss. 668, (Jan 4, 1894): 2-5.",,
270,1894,Harry,Lovell,,,,"The Graphic; London Vol. 49, Iss. 1,259, (Jan 13, 1894): 31.

The Graphic; London Vol. 49, Iss. 1,262, (Feb 3, 1894): 115.

The Graphic; London (Feb 10, 1894): 143.

The Graphic; London Vol. 49, Iss. 1,264, (Feb 17, 1894): 171.

The Graphic; London (Feb 24, 1894): 203.

The Graphic; London Vol. 49, Iss. 1,266, (Mar 3, 1894): 227.

The Graphic; London Vol. 49, Iss. 1,267, (Mar 10, 1894): 259.

The Graphic; London (Mar 17, 1894): 291.

The Graphic; London Vol. 49, Iss. 1,270, (Mar 31, 1894): 355.",,
271,1894,Young,Hyson,,,"might be fictional character; popular female impersonator; ""re-engaged by Manager Rice-Box”","Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]15 Jan 1894: 4.",,
272,1894,Quinton,Gibson,,,stand unrivaled in his own line of business; something about his impersonations very unlike most other males who ape the opposite sex; agreeable; pleasant timbre in his voice; suits admirably for sentimental ballad singing; wore long white handsomely trimmed white dress and fair wig; sang pretty ballad; changed to seriocomic guise and brought little dog and sang “My Daddy’s bought me a bow-wow”,"The Stage (Archive: 1880-1959); London Iss. 670, (Jan 18, 1894): 15.",,
273,1894,Harry,Le Clair,,,Image; clever comedian and singer; considered the foremost female impersonator in this country,"The National Police Gazette (1845-1906); New York Vol. 63, Iss. 855, (Jan 20, 1894): 12.",,clever
274,1894,William,Cronin,,,celebrated Irish female impersonator,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]21 Jan 1894: 19.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]22 Jan 1894: 1.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]24 Jan 1894: 1.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]25 Jan 1894: 1.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]26 Jan 1894: 1.",,
275,1894,,,,,Unnamed Chinese Female Impersonator on the World’s Fair/Midway Plaisance,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]28 Jan 1894: 11.

Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]29 Jan 1894: 3.

St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]04 Feb 1894: 25.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]04 Feb 1894: 2.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]05 Feb 1894: 1.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]07 Feb 1894: 6.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]08 Feb 1894: 6.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]09 Feb 1894: 6.",,
276,1894,Herbert,Crowley,,,the great female impersonator; described as “the greatest female impersonator in the world”; approved himself a clever performer,"The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]05 Feb 1894: 1.

The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]06 Feb 1894: 5.",,clever
277,1894,,Gauze,,,,"Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]07 Feb 1894: 8.",,
278,1894,Geo.,Fredericks,,,good double-voiced female impersonator; makes up well,"The Stage (Archive: 1880-1959); London Iss. 674, (Feb 15, 1894): 15.",,
279,1894,,Count Magri,,Mrs. Tom Thumb’s Company,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]16 Feb 1894: 2.",,
280,1894,Frank,Wilson,,,won for best amateur performer,"The Hartford Courant (1887-1922); Hartford, Conn. [Hartford, Conn]17 Feb 1894: 5.",,
281,1894,Charles,Heywood,,,eccentric female impersonator,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]25 Feb 1894: 22.",,
282,1894,William,Hoel,,,"at a seance at the home of Mrs. Andrew McCleary, wished to communicate with another one of the same profession, Claude, who he was “warmly attached to” — satire piece but still has something going here… — PDF saved","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]11 Mar 1894: 5.",,
283,1894,,,,,______ can’t find,"The Stage (Archive: 1880-1959); London Iss. 678, (Mar 15, 1894): 1-4.",,
284,1894,,,,,______ can’t find,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]18 Mar 1894: 19.",,
285,1894,William,Snyder,,,as a female impersonator; delighted those present,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]01 Apr 1894: 24.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]15 Apr 1894: 24.",,
286,1894,,St. Julie,,First Prize Ideals,,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]08 Apr 1894: 10.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]10 Apr 1894: 6.",,
287,1894,Chas.,Howe,,Wilbur Opera Company,rather well-known female impersonator; committed suicide by morphine in a hotel; 19 years of age; exceptionally handsome; though of a markedly effeminate cast; there is a good deal of mystery surrounding the affair; no cause for the tragedy has been assigned; Young Howe took out life insurance a few days ago; under engagement to travel with Wilbur Opera Co. as impersonator next season,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]11 Apr 1894: 3.",,
288,1894,Harry,Le Clair,,,,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]12 Apr 1894: 6.",,
289,1894,,,,,"Looking for employment — no longer “clever""","The Stage (Archive: 1880-1959); London Iss. 685, (May 3, 1894): 16-20.",,clever
290,1894,,Tracy,,The Great Chicago Variety Troupe,,"The Irish Times (1874-1920); Dublin, Ireland [Dublin, Ireland]15 May 1894: 5.",,
291,1894,Joe,Ratliff,,,typical old maid in “The Columbian Pageant”; simply grand; his voice will be heard to good advantage in a solo,"The American Israelite (1874-2000); Cincinnati, Ohio [Cincinnati, Ohio]07 June 1894: 6.",The Columbian Pageant,
292,1894,Lewis,Wingfield,,,"female impersonator, actor, historical novelist, correspondent, designer of costumes, mounter of plays, collector of curiosities","The Sketch; London Vol. 7, Iss. 80, (Aug 8, 1894): 67-68, 70.",,
293,1894,,Stuart,,,known as the “Male Patti”; will be seen at the Union Square Theatre next month,"New York Times (1857-1922); New York, N.Y. [New York, N.Y]24 Aug 1894: 8.",,
294,1894,Bert,La Rose,,,sentenced after inducing Carl E. Berwick to purchase liquor at the bar at Bottle Meyers’ Theatre; then sat on his lap and fondled him in an affectionate manner while pickpocketing him of $250,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]02 Sep 1894: 24.",,
295,1894,Quinton,Gibson,,,,"The Stage (Archive: 1880-1959); London Iss. 703, (Sep 6, 1894): 9.",,
296,1894,Charles,Heywood,,,introduced himself as a female impersonator; recipient of several encores,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]18 Sep 1894: 6.",,
297,1894,Carl,Ostend,,,clever female impersonator; liberally applauded,"The Stage (Archive: 1880-1959); London Iss. 706, (Sep 27, 1894): 9.

The Stage (Archive: 1880-1959); London Iss. 707, (Oct 4, 1894): 17.",,clever
298,1894,,Blair,,,"one of ""the Blair Brothers"" is a female impersonator par excellence","The Stage (Archive: 1880-1959); London Iss. 707, (Oct 4, 1894): 17.",,
299,1894,George,Fortescue,,,"heavy-weight female impersonator; delightful sketch with Viola Fortescue, his daughter; introducing prominent features of popular burlesques",Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]09 Oct 1894: 2.,,
300,1894,,Stuart,,,"vaudeville; famous female impersonator; displays $10,000 worth of the latest Parisian wardrobe; B.F. Keith’s New Theater; brilliant female impersonator; valuable acquisition for the week; assumption of the manners and methods of the modern feminine stage vocalist is well nigh perfect, and his costumes are magnificent","Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]21 Oct 1894: 18.

Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]23 Oct 1894: 4.",,
301,1894,,Benedetto,,Moors and Burgess Minstrels,good falsetto voice; certainly an addition to the minstrel troupe,"The Stage (Archive: 1880-1959); London Iss. 712, (Nov 8, 1894): 14.",,
302,1894,,St. Julian,,Crescent Novelty Company,,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]25 Nov 1894: 10.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]27 Nov 1894: 2.",,
303,1894,,,,,______ can’t find,"The Stage (Archive: 1880-1959); London Iss. 716, (Dec 6, 1894): 15-20.",,
304,1894,,,,,Unnamed female impersonator appearing at the Royal Aquarium,"The Graphic; London Vol. 50, Iss. 1,307, (Dec 15, 1894): 667.",,
305,1894,,Neva,,,"female impersonator who ""takes well""","The Stage (Archive: 1880-1959); London Iss. 718, (Dec 20, 1894): 8.",,
306,1894,,,,,______ can’t find,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]25 Dec 1894: 4.",,
307,1895,Richard,Harlowe,,,"there is no more artistic female impersonator; plays Isabella, the Daisy Queen of Spain in “1492""",Pittsburgh Commercial Gazette (1877-1902); Pittsburgh [Pittsburgh]05 Jan 1895: 12.,1492,
308,1895,Spence,Lees,,,has decided ability as a female impersonator,"The Stage (Archive: 1880-1959); London Iss. 721, (Jan 10, 1895): 18.",,
309,1895,Mark,Smith,,,made a handsome queen; high soprano bordered on low baritone,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]15 Jan 1895: 4.",,
310,1895,Willis,Searle,,,"press clipping posted in The Stage; the female impersonator is not always a striking success but local theatre-goers have rarely been treated to a more artful make-up and a more thorough characterisation than were furnished by Mr. Searle; deserves the generous reception he was given; plays the role of the masquerading aunt, was inimitable, and scored a great success with the audience; voice and actions are an exact imitation of an eccentric old lady; very clever impersonation of Charley’s Aunt; delightfully humorous low-comedy characterisation","The Stage (Archive: 1880-1959); London Iss. 726, (Feb 14, 1895): 5.

The Stage (Archive: 1880-1959); London Iss. 730, (Mar 14, 1895): 5.

The Stage (Archive: 1880-1959); London Iss. 743, (Jun 13, 1895): 3.

The Stage (Archive: 1880-1959); London Iss. 745, (Jun 27, 1895): 16.",Charley’s Aunt,clever
311,1895,,,,,audience member forcefully ejected from theatre,"New York Times (1857-1922); New York, N.Y. [New York, N.Y]18 Feb 1895: 5.",,
312,1895,Charles,Willis,,,"arrested in New York after looting a room; described as a man of feminine appearance and manners; posters with ""Willis, the Female Impersonator”’ refused to make a statement; held for trial in the sum of $500 — could this be Willis Searle????","St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]19 Feb 1895: 5.",,
313,1895,Henry Louis,Carlo,,,,"The Stage (Archive: 1880-1959); London Iss. 727, (Feb 21, 1895): 4.",,
314,1895,Meva,Monroe,,,Is this Neva??? involved in a murder?? — PDF downloaded,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]07 Mar 1895: 1.",,
315,1895,,Benedetto,,,first-rate female impersonator; did all there was to do in the role as Nellie in “The Black Constabulary”,"The Stage (Archive: 1880-1959); London Iss. 730, (Mar 14, 1895): 9.",The Black Constabulary,
316,1895,,[Reynolds?],,,,"Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]17 Mar 1895: 9.",,
317,1895,William,Cronin,,,Irish female impersonator; will present “Our Noble Heroes” at the People’s,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]24 Mar 1895: 16.,Our Noble Heroes [could be a skit],
318,1895,Fred,Lester,,,"comedian, burlesque female impersonator, and skirt dancer; looking for employment","The Stage (Archive: 1880-1959); London Iss. 733, (Apr 4, 1895): 4.",,
319,1895,,Stuart,,,"billed as ""the world’s greatest female impersonator and wonderful male soprano""","Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]05 May 1895: 1.",,
320,1895,Harry,Mortimer,,,"/Henry Fisher/ suspect in stealing jewelry because of his nattily dress, patent-leather shoes, latest style derby, effeminate manner and voice; in his trunk was found a number of fancy, feminine costumes, and a number of programs one of which was announcing a “Testimonial Benefit and Ball to Mortimer, America’s Greatest Male Soprano”; police looking for a female impersonator, 24 years old, dark complexion, black hair and mustache, 5’4”, wearing a blue sack coat and vest, brown striped trousers, and a brown derby hat; later sentenced to 6 years and eight months; about 22 years old….??? — PDFs saved","New York Times (1857-1922); New York, N.Y. [New York, N.Y]14 May 1895: 1.

New York Times (1857-1922); New York, N.Y. [New York, N.Y]06 Aug 1895: 3.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]19 Oct 1895: 12.",,
321,1895,Effie,Smith,,,involved in alleged suicide attempt of Frank E. Dacons — see PDF,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]18 May 1895: 1.

St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]21 May 1895: 3.",,
322,1895,,La Clair,,,scored immense hit in their burlesque “Cleopatra”; costumes worn by him were beautiful and elicited the admiration of the women,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]21 May 1895: 5.,Cleopatra,
323,1895,,Benedetto,,,,"The Stage (Archive: 1880-1959); London Iss. 740, (May 23, 1895): 7.",,
324,1895,William,Gauze,,,colored female impersonator; said to have an excellent voice and to be clever in his impersonations,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]02 June 1895: 13.",,clever
325,1895,Lincoln,Ellwood,,,,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]09 June 1895: 20.",,
326,1895,Lincoln,Ellwood,,,accidentally written as Lincoln Edward,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]10 June 1895: 3.",,
327,1895,,,,,______ can’t find,"BAB. Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]16 June 1895: 19.",,
328,1895,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]23 June 1895: 18.",,
329,1895,Gilbert,Saroney,,,,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]04 July 1895: 7.",,
330,1895,Quinton,Gibson,,,looking for employment — no longer clever,"Our Own Correspondent. The Stage (Archive: 1880-1959); London Iss. 750, (Aug 1, 1895): 2.",,clever
331,1895,,,,,,"The Stage (Archive: 1880-1959); London Iss. 751, (Aug 8, 1895): 18.",,
332,1895,Reginald,Coulton,,,Violet Dell/Beaton PDF saved,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]11 Aug 1895: 1.",,
333,1895,Arthur,James,,,artistic female impersonator; introduce his skirt dances; pleased the audience with his graceful skirt dances — I believe those were children performing???,"Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]18 Aug 1895: 1.

Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]19 Aug 1895: 1.

Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]15 Sep 1895: 13.",,
334,1895,Cripti,Palmoni,,,played the widow in “Widow Bedott”; excelled his former self; has already made his mark as a female impersonator; kept the audience in a continuous round of laughter,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]27 Aug 1895: 3.,Widow Bedott,
335,1895,,Crowley,,,clever female impersonator,"The Stage (Archive: 1880-1959); London Iss. 756, (Sep 12, 1895): 2.",,clever
336,1895,,Rosselle,,Haverly’s/McInture and Heath’s/Baird’s/Duprez and Benedict’s/Woodson and Dumont’s/Hooley and Thompson’s/Hi Henry’s Minstrel,"/William Smith/ dead; son of Frank Smith; at age 16 started as female impersonator until February 1895; became famous as an impersonator; possessed elegant wardrobe; satirized feminine foibles; created a hit; 25 year career; connected with Haverly’s, McInture and Heath’s, Baird’s, Duprez and Benedict’s, Woodson and Dumont’s, Hooley and Thompson’s, Hi Henry’s Minstrel; sick with consumption of the bowels seven months ago — PDF saved","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]21 Sep 1895: 8.",,
337,1895,,Roizart,,Paris Comedy Company,introduced,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]06 Oct 1895: 16.,,
338,1895,Francis,Leon,,,the only Leon; the greatest comedy burlesque female impersonator; somewhat clever female impersonator; proved quite entertaining,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]10 Oct 1895: 4.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]13 Oct 1895: 19.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]15 Oct 1895: 3.",,clever
339,1895,Gus,Mills,,,inimitable female impersonator,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]13 Oct 1895: 18.",,
340,1895,Richard,Harlow,,,actress who took over in “1492” ends up imitating him; remarkable impersonation of the great female impersonator; make-up as Isabella was Harlow “as in a looking glass”; had all of Richard’s tricks and mannerisms; kept the house laughing in memory of him without burlesquing the part,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]15 Oct 1895: 3.",1492,
341,1895,Richard,Harlow,,,enhancing the production; the clever and regal Richard Harlow; reputation as being the best female impersonator on the stage; deserves his reputation,"The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]21 Oct 1895: 3.",,clever
342,1895,,Stuart,,,compared to Richard Harlow: not exactly another Harlow; as a female impersonator he is certainly in the same class; not as handsome but his singing is simply wonderful,"The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]30 Oct 1895: 4.",,
343,1895,Richard,Harlow,,,"great character of Isabella; ransacked the millinery establishments of Paris during the summer for the gowns; being a handsome, manly, athletic young fellow, it is non the less a notable fact that no female impersonator of the present generation has so succeeded in masquerading in female toggery; every piece of scenery, mechanical feature and electrical effects will be displayed","The Nashville American (1894-1910); Nashville, Tenn. [Nashville, Tenn]10 Nov 1895: 17.",,
344,1895,Charles,Nielson Urdahl,,,"from Arena Theatre, Copenhagen; appearing at Oscar Hammerstein’s new vaudeville theatre Olympia; also illustrates carious character types of English, German, French, Swedish, and other nationalities; came here on St. Louis steamship; stampede when the theatre opened — sometimes his name is spelled wrong as Charles Nielsen Urdohl","New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]17 Nov 1895: 17.

New York Times (1857-1922); New York, N.Y. [New York, N.Y]17 Nov 1895: 8.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]24 Nov 1895: 16.

New York Times (1857-1922); New York, N.Y. [New York, N.Y]26 Nov 1895: 1.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]10 Dec 1895: 7.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]29 Dec 1895: 20.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]05 Jan 1896: 20.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]14 Jan 1896: 6.",,
345,1895,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]24 Nov 1895: 18.

Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]26 Nov 1895: 4.",,
346,1895,William,Cronin,,,the great Irish female impersonator,"The Stage (Archive: 1880-1959); London Iss. 767, (Nov 28, 1895): 10.",,
347,1895,,,,,DOESN’T LOAD,Pittsburgh Commercial Gazette (1877-1902); Pittsburgh [Pittsburgh]29 Nov 1895: 2.,,
348,1895,Bessie,Bonehill*,,,male impersonator; possible the cleverest artist of the kind; from England; the great London comedienne who set New York agog with her cleverness; beautiful enunciation,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]01 Dec 1895: 5.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]25 Dec 1895: 6.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]30 Dec 1895: 6.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]31 Dec 1895: 6.",,clever
349,1895,Richard,Harlow,,,"a female impersonator who is still manly; has hit hit in Isabelle; has been quite extraordinary; Rice had success in Harlow, Bonehill, and in DIXEY/Adonis before that; funniest tramp alive; the most expert and bewitching female impersonator of the century; that rare character, a female impersonator, who does not offend the sense of propriety; As the daisy Queen of Spain he is a picture; exaggerations of the eternal feminine are as rich bits of burlesque as may be imagined and were he to suppress the long sweets of the arm in using his fan—something no woman ever does—it would be a near perfect simulation of the exaggerated female; costumes are smashing","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]01 Dec 1895: 5.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]25 Dec 1895: 6.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]30 Dec 1895: 6.

Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]31 Dec 1895: 6.",1492,
350,1895,,,,,______ can’t find,"Illustrated Sporting and Dramatic News; London Vol. 44, Iss. 1,158, (Dec 7, 1895): 453.",,
351,1895,Ray,Richards,,Wiley Hamilton’s Jack Pot Burlesque and Specialty Combine,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]08 Dec 1895: A12.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]10 Dec 1895: 4.",,
352,1895,,,,,not sure what’s happening here,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]15 Dec 1895: 15.",,
353,1895,Pete,Shaw,,,showed himself exceedingly clever,"The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]17 Dec 1895: 2.",,clever
354,1895,,,,,______ can’t find,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]29 Dec 1895: 5.,,
355,1896,,,,,______ can’t find,"J. F. G. The Sketch; London Vol. 12, Iss. 153, (Jan 1, 1896): 514.",,
356,1896,Edward/Ed,Lovejoy,,,,"The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]07 Jan 1896: 7.",,
